id,value,feed_id,created_at,lat,lon,ele
0F6BZ7KXW3FEVRH6GS1RR1HBT3,1.8,2409788,2022-12-16 05:40:18 UTC,,,
0F6BZA45TM4RZPE9R7PKD0CV5A,1.8,2409788,2022-12-16 05:44:41 UTC,,,
0F6BZAENZG8HW9MXRK1EX4KYBQ,1.8,2409788,2022-12-16 05:45:16 UTC,,,
0F6BZAS5Q25H7W45H5ZB3ZV6XY,1.8,2409788,2022-12-16 05:45:50 UTC,,,
0F6BZB3PQKQHDDMECY397JAG2S,1.8,2409788,2022-12-16 05:46:25 UTC,,,
0F6BZBE9PT86G0S6GZBVWEJJ5M,1.8,2409788,2022-12-16 05:46:59 UTC,,,
0F6BZBRS6RDECXFTMCD2V00EYP,1.8,2409788,2022-12-16 05:47:34 UTC,,,
0F6BZC37KXZ1EXMTWGFCHWKVJV,1.8,2409788,2022-12-16 05:48:08 UTC,,,
0F6BZCDPC486767ACEAWY4SPZY,2.3,2409788,2022-12-16 05:48:42 UTC,,,
0F6BZCR5K4R078V2KZGQBPRM7V,2.3,2409788,2022-12-16 05:49:16 UTC,,,
0F6BZD2M83BVQW7RYE66T5V8KY,2.3,2409788,2022-12-16 05:49:51 UTC,,,
0F6BZDD6MX6JNAFCZ22MYE7B7J,2.3,2409788,2022-12-16 05:50:25 UTC,,,
0F6BZDQS72Q9CB0KBBEW6XT9EJ,2.3,2409788,2022-12-16 05:51:00 UTC,,,
0F6BZE29XFQBTRMYE710X1E0FN,2.3,2409788,2022-12-16 05:51:35 UTC,,,
0F6BZECRG2NZRFR538DWHBJGTV,2.3,2409788,2022-12-16 05:52:09 UTC,,,
0F6BZEQ7T9KGRQPBAX7WXHZHFY,2.3,2409788,2022-12-16 05:52:43 UTC,,,
0F6BZF1T0FB0REP9GJ9ZAZ23G9,2.3,2409788,2022-12-16 05:53:18 UTC,,,
0F6BZFC9ACY1SRVKW5J00KZ7V5,2.0,2409788,2022-12-16 05:53:52 UTC,,,
0F6BZFPVJQ28PZPZ8QKBQXM78P,2.0,2409788,2022-12-16 05:54:27 UTC,,,
0F6BZG19WM0TPA13ZD6YNDFRFY,2.0,2409788,2022-12-16 05:55:01 UTC,,,
0F6BZGBT2JEFGQ47S7C61R7EKR,2.0,2409788,2022-12-16 05:55:35 UTC,,,
0F6BZGPAPJGY4DG770M9CCCYHK,2.0,2409788,2022-12-16 05:56:10 UTC,,,
0F6BZH0TVB116MHPXZYN931YP5,2.0,2409788,2022-12-16 05:56:44 UTC,,,
0F6BZHBBZ4X0S83TQRGN84NR2J,2.0,2409788,2022-12-16 05:57:19 UTC,,,
0F6BZHP72ZEF4N5G7FAF6PAW3P,2.0,2409788,2022-12-16 05:57:54 UTC,,,
0F6BZJ0Q5Q6FYAK75WPHBGXKDA,2.0,2409788,2022-12-16 05:58:29 UTC,,,
0F6BZJCQD1564PWGME65KTZRBR,2.1,2409788,2022-12-16 05:59:08 UTC,,,
0F6BZJQ790BZRPTT252JJTA8T1,2.1,2409788,2022-12-16 05:59:42 UTC,,,
0F6BZK39XWEEWM22GZ23ZR4ASD,2.1,2409788,2022-12-16 06:00:22 UTC,,,
0F6BZKDVYDBD29QYS202H6RCY1,2.1,2409788,2022-12-16 06:00:57 UTC,,,
0F6BZKRQ4WMDWTKR1NQBH17EA2,2.1,2409788,2022-12-16 06:01:32 UTC,,,
0F6BZM359WYWKPK7VK1SZSKBJY,2.1,2409788,2022-12-16 06:02:06 UTC,,,
0F6C0NGRZHJP82EV2H68026H96,93.6,2409788,2022-12-16 07:00:31 UTC,,,
0F6C0NV77XZMPVT0JCT46TYJNS,93.6,2409788,2022-12-16 07:01:06 UTC,,,
0F6C0P5PY6DVMQBQ4GZNCHZNEG,93.6,2409788,2022-12-16 07:01:40 UTC,,,
0F6C0PHWJJXX0QNEZQYNV33Q0M,93.3,2409788,2022-12-16 07:02:20 UTC,,,
0F6C0RZQGW33EQC0BM0NF10Z4D,93.3,2409788,2022-12-16 07:06:35 UTC,,,
0F6C0T9JK46WYD4MZ0FDF9HRRF,86.8,2409788,2022-12-16 07:08:52 UTC,,,
0F6C0TH91KKB85QP0R0DH76222,86.8,2409788,2022-12-16 07:09:17 UTC,,,
0F6C0VDEYG5F6JPTHHEFMQ9963,86.8,2409788,2022-12-16 07:10:50 UTC,,,
0F6C0VPDNG5YA0WT88B9XX6VHA,86.8,2409788,2022-12-16 07:11:19 UTC,,,
0F6C0VSFBE7BWJ1PESYDE6Z775,86.8,2409788,2022-12-16 07:11:29 UTC,,,
0F6C0WQCN09MZN7E7DMTXVNDQ5,79.2,2409788,2022-12-16 07:13:07 UTC,,,
0F6C0X0D4QN85808826WS7ZY4B,79.2,2409788,2022-12-16 07:13:37 UTC,,,
0F6C0X9D97Q1DDV5SP8YEJ9WK4,79.2,2409788,2022-12-16 07:14:06 UTC,,,
