id,value,feed_id,created_at,lat,lon,ele
0F6C11HJK00J8F3NHRGDG8V0YP,31.3,2409790,2022-12-16 07:21:32 UTC,,,
0F6C11TK98WW21ZWX0X27F0T09,31.3,2409790,2022-12-16 07:22:02 UTC,,,
0F6C123RPV6VMC0ZP7DYGK71QK,31.4,2409790,2022-12-16 07:22:32 UTC,,,
0F6C12D5YNFBB8JQ8YCE76QBDH,31.5,2409790,2022-12-16 07:23:03 UTC,,,
0F6C12PBFEENVDQR5EDQCCCS8V,31.4,2409790,2022-12-16 07:23:33 UTC,,,
0F6C12ZC84DMB655ZZ8WDF6148,31.5,2409790,2022-12-16 07:24:02 UTC,,,
0F6C138EC6VVJ9KZRBPTJFF6F4,31.5,2409790,2022-12-16 07:24:32 UTC,,,
0F6C13HFY26FHFFDHE3VQ6VA96,31.5,2409790,2022-12-16 07:25:02 UTC,,,
0F6C13XKBT73VPDRD2DER2BA1G,31.5,2409790,2022-12-16 07:25:41 UTC,,,
0F6C146K9ZF7RA1KY7CCTD81P1,31.5,2409790,2022-12-16 07:26:11 UTC,,,
0F6C14H61HS7R1NCZPZ33D3KMC,31.5,2409790,2022-12-16 07:26:46 UTC,,,
0F6C14T8773JA5249FDTZ93X1Z,31.5,2409790,2022-12-16 07:27:15 UTC,,,
0F6C1537P5KCAGF65HDB7S4K9Y,31.5,2409790,2022-12-16 07:27:45 UTC,,,
0F6C15C8QM46JWYKEPEE84V2NJ,31.5,2409790,2022-12-16 07:28:14 UTC,,,
0F6C15NAS6WJ66ASC4BAMSZFWX,31.5,2409790,2022-12-16 07:28:44 UTC,,,
0F6C15YDTXY91JBPEVNGMEZ3RK,31.6,2409790,2022-12-16 07:29:14 UTC,,,
0F6C167DHCACXGQ0GJ94DB0YT5,31.6,2409790,2022-12-16 07:29:43 UTC,,,
0F6C16GDM4SNHSXTTE6J81TEP4,31.6,2409790,2022-12-16 07:30:13 UTC,,,
0F6C16SGNKZ01SQABNN58BDYYT,31.6,2409790,2022-12-16 07:30:43 UTC,,,
0F6C172H3Q6CMN8ZHPG7ZH89DQ,31.6,2409790,2022-12-16 07:31:12 UTC,,,
0F6C17BJKGC1RE163QMKZ6PNWE,31.5,2409790,2022-12-16 07:31:42 UTC,,,
0F6C17MM0W7DDSV3MS5QAQ7AY3,31.4,2409790,2022-12-16 07:32:11 UTC,,,
0F6C17XN9J4416VMKVFFT1V59S,31.5,2409790,2022-12-16 07:32:41 UTC,,,
0F6C186QBTWYP8P35CAFEA725Y,31.5,2409790,2022-12-16 07:33:11 UTC,,,
0F6C18FSD4WS0FE0KVM8W43WK5,31.6,2409790,2022-12-16 07:33:40 UTC,,,
0F6C18RT298Q1E4B1DZ28MNH58,31.6,2409790,2022-12-16 07:34:10 UTC,,,
0F6C191SQJYTK0G8C3BSP0EQ9E,31.6,2409790,2022-12-16 07:34:39 UTC,,,
0F6C19ASWGF9RSA957P8XGFVHV,31.6,2409790,2022-12-16 07:35:09 UTC,,,
0F6C19KV3K299FK8XNZ2449802,31.7,2409790,2022-12-16 07:35:39 UTC,,,
0F6C19WWP17B525D9K8RYSME5C,31.7,2409790,2022-12-16 07:36:08 UTC,,,
0F6C1A5Y41SJNST6D196NCQRXK,31.7,2409790,2022-12-16 07:36:38 UTC,,,
0F6C1AF0BD337YCVMM6ZVZKG6Z,31.7,2409790,2022-12-16 07:37:08 UTC,,,
0F6C1AR0HCSE4CAV2SBCEX84H2,31.6,2409790,2022-12-16 07:37:37 UTC,,,
0F6C1B11DREM3Q6WVSBZQTKBP9,31.8,2409790,2022-12-16 07:38:07 UTC,,,
0F6C1BA0SD0NNVCR1T9QN257D2,31.9,2409790,2022-12-16 07:38:36 UTC,,,
0F6C1BK01G6064Y7CV2QD8XEXB,32.0,2409790,2022-12-16 07:39:06 UTC,,,
0F6C1BW23FNH96M93HBFVFQ1CK,32.1,2409790,2022-12-16 07:39:35 UTC,,,
0F6C1C51XYR4GGPKMPW1FT8SKG,32.2,2409790,2022-12-16 07:40:05 UTC,,,
0F6C1CE29YHQQ6BE6EQX0C1QJG,32.2,2409790,2022-12-16 07:40:34 UTC,,,
0F6C1CQ2CN6FPNY6Z5BZM4HNJ7,32.2,2409790,2022-12-16 07:41:04 UTC,,,
0F6C1D04BCFNE6698EEPGEEH42,32.3,2409790,2022-12-16 07:41:33 UTC,,,
0F6C1D955PQ4FJCVT9B7VZTS4R,32.2,2409790,2022-12-16 07:42:03 UTC,,,
0F6C1DJ6PA7CCBRARQ921AKH8Q,32.3,2409790,2022-12-16 07:42:33 UTC,,,
0F6C1DV7V98VW5GGCZCK3JHPNT,32.2,2409790,2022-12-16 07:43:02 UTC,,,
0F6C1E492VWNDF03QWRMNSV2WV,32.3,2409790,2022-12-16 07:43:32 UTC,,,
0F6C1ED8VF7SPGZ7AV4QDJK7RY,32.3,2409790,2022-12-16 07:44:01 UTC,,,
0F6C1EP96KYCVR1S8EBAPC14A4,32.3,2409790,2022-12-16 07:44:31 UTC,,,
0F6C1EZAFF6SHT3HJ11CJACHJZ,32.3,2409790,2022-12-16 07:45:00 UTC,,,
0F6C1F8AJ864XD3S396PAW7TBX,32.3,2409790,2022-12-16 07:45:30 UTC,,,
0F6C1FHEYRY099D35FBQVWWY3Y,32.4,2409790,2022-12-16 07:46:00 UTC,,,
0F6C1FTGSX4RQSSHX5JJPKQY6K,32.4,2409790,2022-12-16 07:46:30 UTC,,,
0F6C1G3GDWY68GEQ5YPBAN85WY,32.3,2409790,2022-12-16 07:46:59 UTC,,,
0F6C1GCHFEYGV7QR9THBBFZYCP,32.3,2409790,2022-12-16 07:47:29 UTC,,,
0F6C1GNJ1QG9GNF3HMHRFC3K0P,32.3,2409790,2022-12-16 07:47:58 UTC,,,
0F6C1GYJRYJVMAA08DKJJZPFWS,32.3,2409790,2022-12-16 07:48:28 UTC,,,
0F6C1H7KH5ZF4315877MX3X2EK,32.4,2409790,2022-12-16 07:48:57 UTC,,,
0F6C1HGKQJYJT9VA3MBW12XE6X,32.4,2409790,2022-12-16 07:49:27 UTC,,,
0F6C1HSK5G52TD24G7NW33KW75,32.4,2409790,2022-12-16 07:49:56 UTC,,,
0F6C1J2JXCFJSFFVAAMB59QH44,32.4,2409790,2022-12-16 07:50:26 UTC,,,
0F6C1JBS1TZE7G63FWXJA09WYC,32.4,2409790,2022-12-16 07:50:56 UTC,,,
0F6C1JMTDK45ANMQ5E4DBS5P3W,32.4,2409790,2022-12-16 07:51:25 UTC,,,
0F6C1JXSVABTSCATD5YJZ30TSD,32.4,2409790,2022-12-16 07:51:55 UTC,,,
0F6C1K6VP9J8G6Y4300ZR8PEZP,32.4,2409790,2022-12-16 07:52:25 UTC,,,
0F6C1KFWEVGZ9Z58RRKDG13X5Q,32.4,2409790,2022-12-16 07:52:54 UTC,,,
0F6C1KRX0HHCX9TWHA5392AVKH,32.3,2409790,2022-12-16 07:53:24 UTC,,,
0F6C1M1Y763DA9FWQ4DSSJQ4SN,32.3,2409790,2022-12-16 07:53:53 UTC,,,
0F6C1MAYAJ6MXM7D4T82RAT5TN,32.4,2409790,2022-12-16 07:54:23 UTC,,,
0F6C1MKZ0T59ZYPAE8A0PWMTKA,32.4,2409790,2022-12-16 07:54:52 UTC,,,
0F6C1MX01G79PDBMM3VC2H7PS8,32.4,2409790,2022-12-16 07:55:22 UTC,,,
0F6C1N647S727EX3DAA3QGE08J,32.4,2409790,2022-12-16 07:55:52 UTC,,,
0F6C1NF7D9EMCH7XPG2CVNVBR7,32.3,2409790,2022-12-16 07:56:22 UTC,,,
0F6C1NSTM2YWQ7PZCVBFPFK5XN,32.3,2409790,2022-12-16 07:56:56 UTC,,,
0F6C1P2TMEYWDRXABQ5HNWVNEF,32.4,2409790,2022-12-16 07:57:26 UTC,,,
0F6C1PBV2ATBV492MP9C3JWMEA,32.4,2409790,2022-12-16 07:57:56 UTC,,,
0F6C1PMTVKKD1CBK096AK1RDEZ,32.5,2409790,2022-12-16 07:58:25 UTC,,,
0F6C1PZAYBBEAJTWKF6T4TGJ35,32.4,2409790,2022-12-16 07:58:59 UTC,,,
0F6C1Q8B0RCA3T6F0S0TVM1JBP,32.5,2409790,2022-12-16 07:59:29 UTC,,,
0F6C1QHATBEMYYCXVZ2101CGJS,32.5,2409790,2022-12-16 07:59:58 UTC,,,
0F6C1QTBM75VF6MS3S9Q91NE2V,32.4,2409790,2022-12-16 08:00:28 UTC,,,
0F6C1R3CXVESDMYTK1T9QKFW29,32.4,2409790,2022-12-16 08:00:58 UTC,,,
0F6C1RCDWHFRJ4GRHT6G6Z5431,32.4,2409790,2022-12-16 08:01:27 UTC,,,
0F6C1RNENW6JN7N2JENKMGG6E1,32.4,2409790,2022-12-16 08:01:57 UTC,,,
0F6C1RYGPQWZS2T02CQ5G0N2A9,32.4,2409790,2022-12-16 08:02:26 UTC,,,
0F6C1S7GJYTJY76W5N7DVETZBA,32.4,2409790,2022-12-16 08:02:56 UTC,,,
0F6C1SGGDNXCETZGXQ37AEED6E,32.4,2409790,2022-12-16 08:03:25 UTC,,,
0F6C1SSHDQQ4C8AJ9QM7HVDSTP,32.5,2409790,2022-12-16 08:03:55 UTC,,,
0F6C1T2G9H6EW1W6C34XQ1QF4Y,32.5,2409790,2022-12-16 08:04:24 UTC,,,
0F6C1TBGHJ6E7EBJQQXNF4Z2ZS,32.6,2409790,2022-12-16 08:04:54 UTC,,,
0F6C1TMFM786XJ961GNG33PA35,32.7,2409790,2022-12-16 08:05:23 UTC,,,
0F6C1TXFR9DPJCX8KQFY62RPTV,32.6,2409790,2022-12-16 08:05:53 UTC,,,
0F6C1V6GXQPHCVP8C85A9DA9Y9,32.6,2409790,2022-12-16 08:06:22 UTC,,,
0F6C1VFJDT77CYJ05Q7XZ18H8N,32.6,2409790,2022-12-16 08:06:52 UTC,,,
0F6C1VRK59H5T26QR11MC75VCD,32.5,2409790,2022-12-16 08:07:22 UTC,,,
0F6C1W1PF1NHM8N5PX1D3PX1YQ,32.6,2409790,2022-12-16 08:07:51 UTC,,,
0F6C1WAPPPP9DHJ00JD55V0Z6H,32.6,2409790,2022-12-16 08:08:21 UTC,,,
0F6C1WKXZFD9BGWEKRQYTWCT4D,32.5,2409790,2022-12-16 08:08:51 UTC,,,
0F6C1WWZHFE1RTFHVGBTYM5TMS,32.6,2409790,2022-12-16 08:09:21 UTC,,,
0F6C1X63Q7TBYZA42ZR4T2NGBS,32.7,2409790,2022-12-16 08:09:51 UTC,,,
0F6C1XF4H3H60G30J7BHSKSC1K,32.7,2409790,2022-12-16 08:10:20 UTC,,,
0F6C1XR97FHYXMVKKS00PZDW6G,32.5,2409790,2022-12-16 08:10:50 UTC,,,
0F6C1Y1918G19067ZEV24SCMV7,32.5,2409790,2022-12-16 08:11:20 UTC,,,
0F6C1YAGX1AH868A4K79QM6GZ0,32.5,2409790,2022-12-16 08:11:50 UTC,,,
0F6C1YKGD5RAPP4Q1AZF6S5MCT,32.4,2409790,2022-12-16 08:12:19 UTC,,,
0F6C1YWR42WBT7R8MKHVPEW1CM,32.6,2409790,2022-12-16 08:12:50 UTC,,,
0F6C1Z5SZNV8WPSY4DVGZGB46M,32.6,2409790,2022-12-16 08:13:19 UTC,,,
0F6C1ZEYHT3G28Z5Y0S926SRR0,32.7,2409790,2022-12-16 08:13:49 UTC,,,
0F6C1ZQYG86JBA5WPNDERPFECQ,32.7,2409790,2022-12-16 08:14:19 UTC,,,
0F6C2016T6HZ2YMDFJ93A9VVMT,32.8,2409790,2022-12-16 08:14:49 UTC,,,
0F6C20A8X5RA02W19HDEE9815S,32.7,2409790,2022-12-16 08:15:19 UTC,,,
0F6C20KDF2D80N13T1PE795JXY,32.7,2409790,2022-12-16 08:15:49 UTC,,,
0F6C20WHX3YYWSAB5N1ABDTY3Y,32.8,2409790,2022-12-16 08:16:19 UTC,,,
0F6C215S8NY188WFZEBJCB9D3E,32.7,2409790,2022-12-16 08:16:49 UTC,,,
0F6C21EXQMH834HYZHMD7QVGBT,32.7,2409790,2022-12-16 08:17:19 UTC,,,
0F6C21R4G7GPX80ZY5BGQQNE90,32.8,2409790,2022-12-16 08:17:49 UTC,,,
0F6C2216X053JCN83WH1JE2YKS,32.9,2409790,2022-12-16 08:18:19 UTC,,,
0F6C22ACHXNHM9WVFRY7EXHMTX,32.7,2409790,2022-12-16 08:18:49 UTC,,,
0F6C22KF63K0DQ453QGXX9VRSC,32.9,2409790,2022-12-16 08:19:19 UTC,,,
0F6C22WNK20MJJNPQCSX7J3CBV,32.8,2409790,2022-12-16 08:19:49 UTC,,,
0F6C235QZHF30FPTJDBKWE3BN9,32.8,2409790,2022-12-16 08:20:19 UTC,,,
0F6C23EVTANMYZYYEQC4KNCRFH,32.8,2409790,2022-12-16 08:20:49 UTC,,,
0F6C23R0CWDPCENH67SEMZS4TT,32.8,2409790,2022-12-16 08:21:19 UTC,,,
0F6C2415MK5N8PKA6JF91TQVZA,32.7,2409790,2022-12-16 08:21:49 UTC,,,
0F6C24A9G50HCAWC5B9JNWY6H4,32.7,2409790,2022-12-16 08:22:18 UTC,,,
0F6C24KGTSDYAD3HBVR1KJ6Q6H,32.7,2409790,2022-12-16 08:22:49 UTC,,,
0F6C24WNW4ZA2GRJPM8ZZA5NVS,32.8,2409790,2022-12-16 08:23:19 UTC,,,
0F6C255XGV55GF9B33Y6Q42XSD,32.9,2409790,2022-12-16 08:23:49 UTC,,,
0F6C25F0C9YN58VXADWNZQPBBB,32.9,2409790,2022-12-16 08:24:19 UTC,,,
0F6C25RMPV9CEWMNJ3XMV48CE9,32.9,2409790,2022-12-16 08:24:50 UTC,,,
0F6C261N1M3GQ3W0DVSY0CHZB0,32.9,2409790,2022-12-16 08:25:20 UTC,,,
0F6C26AWTBP5N2QTXNPBQ7MV1B,32.8,2409790,2022-12-16 08:25:50 UTC,,,
0F6C26KXPJYVETDQER6FM88CHM,32.9,2409790,2022-12-16 08:26:20 UTC,,,
0F6C26X6E1JQ7BSZERC41Y3K98,32.8,2409790,2022-12-16 08:26:50 UTC,,,
