,0,1,2,3,4,5,af_distance_to_aircon,A_af,B_af,C_af,af_elevated,aircon_on,A_ac,B_ac,C_ac
0,188.51058880134400,0.025078830712409400,25.144634064284600,88.77177596315740,0.014878157043909100,7.6182001617738600,2.9,2.49,4.022,6.546,0,0,0.41,3.204,5.54
1,240.08328903016100,0.015297190572205500,10.52420173408580,125.7876204328350,0.008676156126314740,-30.88154240173740,2.9,3.903,0.581,3.309,0,0,0.41,3.204,5.54
2,200.2458240005820,0.02600220089783570,23.64470522715420,115.19350079546800,0.022521128091362,19.640844175766200,0.564,1.513,2.825,6.081,0,0,0.41,3.204,5.54
3,141.19443950848300,0.01640334845898940,6.894455927376690,96.9038283620727,0.013570991121160300,-0.38333619695659900,2.9,2.909,1.05,4.38,0,0,0.41,3.204,5.54
4,124.66898543446000,0.015458030725614800,8.907060468647840,91.81890519554700,0.013289349779827200,1.5787559027299100,4.676,4.524,2.267,3.6,0,0,0.41,3.204,5.54
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.564,1.513,2.825,6.081,0,1,0.41,3.204,5.54
6,194.31047378937000,0.021110744464104700,22.20304461416740,84.70478200733720,0.013648464642839500,-0.019226380394155300,2.9,2.909,1.05,4.38,0,1,0.41,3.204,5.54
7,142.08619630746200,0.01900593465364190,13.08917701105260,85.05557922024610,0.016814123825489600,8.457439211518730,4.676,4.524,2.267,3.6,0,1,0.41,3.204,5.54
8,147.80444629075900,0.021179716677842800,16.668805558549200,81.84410767855380,0.0185271858199344,11.875493072885600,4.676,4.524,2.267,3.6,1,1,0.41,3.204,5.54
9,133.07779410180100,0.02043546073759870,10.265151041709600,86.0829712766701,0.018028611803962900,5.814381066970160,2.9,2.909,1.05,4.38,1,1,0.41,3.204,5.54
10,179.72499979988300,0.019817226855790500,9.826179170276280,86.85938026337430,0.01854426116525000,7.07404764502302,0.564,1.513,2.825,6.081,1,1,0.41,3.204,5.54
11,154.91361919330300,0.02099940857195240,11.119384736934700,80.90123333898280,0.020549910659061400,10.50898074187030,2.9,3.903,0.581,3.309,0,1,0.41,3.204,5.54
12,131.85195850792200,0.020529275080062500,9.654272137298870,85.8083602073027,0.020009249767546700,8.904284558911820,2.9,3.903,0.581,3.309,1,1,0.41,3.204,5.54
13,157.23538874024700,0.01858893460696490,10.947412908300600,87.1973525838085,0.015794658138002100,5.860567873432510,2.9,2.909,1.05,4.38,0,1,0.41,3.204,5.54
