Curve fitting results,,,,,,,,,Curve fitting results,,,,,,,,,Curve fitting results
,,,,,,,,,,,,,,,,,,
Pos B pm10 (raw),,,,,Pos B pm10 (normalised),,,,,Pos B pm25 (normalised),,,,,Pos B pm25 (normalised),,,
Pos C pm10 (raw),,,,,Pos C pm10 (normalised),,,,,Pos C pm25 (raw),,,,,Pos C pm25 (normalised),,,
1,1.68E+02,1.03E-02,-2.17E+01,,1,1.68E+02,1.03E-02,-2.17E+01,,1,9.05E+01,1.04E-02,-9.01E+00,,1,9.05E+01,1.04E-02,-9.01E+00
2,2.09E+02,6.88E-03,-5.77E+01,,2,"1.95291249e+02,  7.50793485e-03, -4.75194050e+01",,,,2,1.04E+02,5.54E-03,-3.72E+01,,2,1.04E+02,5.54E-03,-3.72E+01
3,1.34E+02,1.66E-02,1.10E+01,,3,1.34E+02,1.66E-02,1.10E+01,,3,7.89E+01,1.77E-02,9.42E+00,,3,7.89E+01,1.77E-02,9.42E+00
4,"2.06595057e+02, 1.82982333e-02, 1.67339746e+01",,,,4,"1.21857100e+02, 2.19787860e-02, 2.29393863e+01",,,,4,1.33E+02,1.86E-02,1.08E+01,,4,9.36E+01,1.66E-02,5.86E+00
5,,,,,5,,,,,5,8.21E+01,1.52E-02,5.12E+00,,5,8.21E+01,1.52E-02,5.12E+00
6,,,,,6,,,,,6,,,,,6,,,
7,"1.28063422e+02,",1.34E-02,-2.54E+00,,7,"1.28063422e+02,",1.34E-02,-2.54E+00,,7,6.92E+01,1.07E-02,-6.09E+00,,7,6.92E+01,1.07E-02,-6.09E+00
8,"2.18037603e+02, 1.87394475e-02, 1.84295357e+01",,,,8,"1.27550813e+02, 1.70687607e-02, 1.18083675e+01",,,,8,9.44E+01,2.24E-02,1.96E+01,,8,7.82E+01,2.23E-02,1.98E+01
9,"2.18037603e+02, 1.87394475e-02, 1.84295357e+01",,,,9,"1.27550813e+02, 1.70687607e-02, 1.18083675e+01",,,,9,1.26E+02,2.71E-02,2.55E+01,,9,1.24E+02,9.33E-03,-3.92E+01
10,"1.88612457e+02, 1.73945190e-02, 3.17289741e+00",,,,10,"1.57053196e+02, 1.72024508e-02, 3.00703476e+00",,,,10,1.39E+02,1.81E-02,3.48E+00,,10,9.07E+01,1.93E-02,6.82E+00
11,"2.49228920e+02, 1.55905325e-02, -7.17789779e+00",,,,11,"2.49228920e+02, 1.55905325e-02, -7.17789779e+00",,,,11,1.39E+02,1.29E-02,-1.05E+01,,11,1.04E+02,1.18E-02,-1.37E+01
12,,,,,12,,,,,12,,,,,12,,,
13,"1.91888105e+02, 1.80845935e-02, 5.93097304e+00",,,,13,"1.28203557e+02, 2.19010794e-02, 1.43237858e+01",,,,13,1.10E+02,1.83E-02,4.37E+00,,13,8.63E+01,1.69E-02,2.45E+00
14,"2.33164027e+02, 1.79767915e-02, 1.44682784e+01",,,,14,"1.40167140e+02, 1.52053294e-02, 5.79781176e+00",,,,14,1.22E+02,1.60E-02,6.57E+00,,14,9.36E+01,1.22E-02,-2.65E+00
